Job Title,Skills_Required
IT Operations Manager,"IT Operations, ITIL, Incident Management, Problem Management, Change Management"
Data Analyst,"Data Analysis, SQL, Excel, Python, Tableau"
Senior Data Analyst,"Data Analysis, SQL, Excel, Python, Tableau, Data Visualization"
IT Trainer,"IT Training, Course Development, Instructional Design, E-Learning"
ERP Developer,"ERP, Java, C#, SQL, SAP, Oracle"
Mobile App Developer,"Swift, Kotlin, React Native, Flutter, iOS, Android"
Senior Mobile App Developer,"Swift, Kotlin, React Native, Flutter, iOS, Android, REST APIs"
Cloud Consultant,"Cloud Consulting, AWS, Azure, Google Cloud, DevOps, Kubernetes"
Network Security Engineer,"Network Security, Firewalls, VPN, SIEM, Penetration Testing"
Senior Network Security Engineer,"Network Security, Firewalls, VPN, SIEM, Penetration Testing, Incident Response"
IT Project Manager,"IT Project Management, Agile, Scrum, Waterfall, MS Project"
Technical Program Manager,"Technical Program Management, Agile, Scrum, Project Management, JIRA"
AI Research Scientist,"AI Research, Machine Learning, Python, TensorFlow, PyTorch"
Bioinformatics Scientist,"Bioinformatics, Python, R, Genomics, Data Analysis"
Game Designer,"Game Design, Unity, Unreal Engine, 3D Modeling, C++"
IT Support Analyst,"IT Support, Troubleshooting, Windows, MacOS, Linux, Customer Service"
System Analyst,"Systems Analysis, SQL, Requirements Gathering, Data Analysis"
Application Developer,"Java, C#, Python, SQL, REST APIs, Git"
Senior Application Developer,"Java, C#, Python, SQL, REST APIs, Git, Microservices, Docker"
IT Infrastructure Manager,"IT Infrastructure, Networking, Servers, Storage, Virtualization"
Business Intelligence Developer,"BI Development, SQL, SSIS, SSRS, Power BI, Tableau"
Senior Business Intelligence Dev,"BI Development, SQL, SSIS, SSRS, Power BI, Tableau, Data Warehousing"
Cloud Support Engineer,"AWS, Azure, Google Cloud, Technical Support, Linux, Windows"
Senior Cloud Support Engineer,"AWS, Azure, Google Cloud, Technical Support, Linux, Windows, DevOps"
Site Reliability Engineer,"SRE, AWS, Docker, Kubernetes, Jenkins, Monitoring"
Senior Site Reliability Engineer,"SRE, AWS, Docker, Kubernetes, Jenkins, Monitoring, Automation"
IT Operations Analyst,"IT Operations, Monitoring, Incident Management, Windows, Linux"
Network Support Engineer,"Network Support, Cisco, Routing, Switching, Firewalls"
ERP Project Manager,"ERP, Project Management, SAP, Oracle, Business Analysis"
CRM Project Manager,"CRM, Project Management, Salesforce, Microsoft Dynamics, Business Analysis"
IT Security Analyst,"IT Security, SIEM, Firewalls, Vulnerability Management, Penetration Testing"
Senior IT Security Analyst,"IT Security, SIEM, Firewalls, Vulnerability Management, Penetration Testing, Incident Response"
Blockchain Architect,"Blockchain, Ethereum, Solidity, Smart Contracts, Hyperledger, Architecting"
AI Product Manager,"AI, Product Management, Machine Learning, Data Analysis, Roadmaps"
Robotics Software Engineer,"Robotics, ROS, C++, Python, Machine Vision, Software Development"
Senior Robotics Software Engineer,"Robotics, ROS, C++, Python, Machine Vision, Software Development, Automation"
IT Service Manager,"ITIL, Service Management, Incident Management, Problem Management, Change Management"
Technical Recruiter,"Technical Recruiting, IT Recruiting, Candidate Sourcing, Interviewing, HR"
Systems Architect,"Systems Architecture, Design Patterns, Java, .NET, Microservices"
Senior Systems Architect,"Systems Architecture, Design Patterns, Java, .NET, Microservices, Cloud"
Embedded Software Engineer,"Embedded Systems, C, C++, RTOS, Microcontrollers"
Senior Embedded Software Engineer,"Embedded Systems, C, C++, RTOS, Microcontrollers, Firmware Development"
Web Application Developer,"HTML, CSS, JavaScript, PHP, MySQL, Web Development"
Senior Web Application Developer,"HTML, CSS, JavaScript, PHP, MySQL, Web Development, React, Node.js"
IT Compliance Analyst,"IT Compliance, SOX, PCI-DSS, HIPAA, Audit, Risk Management"
Senior IT Compliance Analyst,"IT Compliance, SOX, PCI-DSS, HIPAA, Audit, Risk Management, Cybersecurity"
Data Warehouse Developer,"Data Warehousing, SQL, ETL, Big Data, Hadoop, Spark"
Senior Data Warehouse Developer,"Data Warehousing, SQL, ETL, Big Data, Hadoop, Spark, Data Modeling"
UI/UX Developer,"HTML, CSS, JavaScript, UX Design, UI Design, Prototyping"
Senior UI/UX Developer,"HTML, CSS, JavaScript, UX Design, UI Design, Prototyping, React, Angular"
Technical Account Manager,"Account Management, Technical Support, Customer Service, IT Consulting"
Senior Technical Account Manager,"Account Management, Technical Support, Customer Service, IT Consulting, Pre-Sales"
IT Field Technician,"IT Support, Field Service, Troubleshooting, Hardware, Software"
Senior IT Field Technician,"IT Support, Field Service, Troubleshooting, Hardware, Software, Networking"
ERP Analyst,"ERP, Business Analysis, SQL, SAP, Oracle"
Senior ERP Analyst,"ERP, Business Analysis, SQL, SAP, Oracle, Data Migration"
CRM Analyst,"CRM, Business Analysis, Salesforce, Microsoft Dynamics"
Senior CRM Analyst,"CRM, Business Analysis, Salesforce, Microsoft Dynamics, Data Migration"
IT Procurement Specialist,"IT Procurement, Vendor Management, Contract Negotiation, Supply Chain Management"
IT Asset Manager,"IT Asset Management, Inventory Management, Software Licensing, Vendor Management"
E-commerce Developer,"E-commerce, Magento, Shopify, WooCommerce, PHP, JavaScript"
Senior E-commerce Developer,"E-commerce, Magento, Shopify, WooCommerce, PHP, JavaScript, Node.js"
Machine Learning Researcher,"Machine Learning, Python, R, TensorFlow, PyTorch, Research"
IT Strategy Consultant,"IT Strategy, Consulting, Business Analysis, Project Management, IT Governance"
Senior IT Strategy Consultant,"IT Strategy, Consulting, Business Analysis, Project Management, IT Governance, Change Management"
Big Data Engineer,"Big Data, Hadoop, Spark, Kafka, NoSQL, Data Processing"
Senior Big Data Engineer,"Big Data, Hadoop, Spark, Kafka, NoSQL, Data Processing, Data Architecture"
Solutions Engineer,"Solutions Engineering, Pre-Sales, Technical Support, Customer Service, IT Consulting"
Senior Solutions Engineer,"Solutions Engineering, Pre-Sales, Technical Support, Customer Service, IT Consulting, Cloud"
IT Support Technician,"IT Support, Troubleshooting, Windows, MacOS, Linux, Customer Service"
Senior IT Support Technician,"IT Support, Troubleshooting, Windows, MacOS, Linux, Customer Service, Networking"
Digital Marketing Specialist,"Digital Marketing, SEO, SEM, Google Analytics, Social Media Marketing"
Senior Digital Marketing Specialist,"Digital Marketing, SEO, SEM, Google Analytics, Social Media Marketing, Content Marketing"
IT Risk Manager,"IT Risk Management, Risk Assessment, Compliance, Cybersecurity"
Senior IT Risk Manager,"IT Risk Management, Risk Assessment, Compliance, Cybersecurity, Incident Response"
IT Governance Analyst,"IT Governance, ITIL, COBIT, Risk Management, Compliance"
Senior IT Governance Analyst,"IT Governance, ITIL, COBIT, Risk Management, Compliance, Policy Development"
IT Finance Manager,"IT Finance, Budgeting, Financial Analysis, Cost Management"
IT Vendor Manager,"Vendor Management, Contract Negotiation, Supply Chain, Procurement"
AI Developer,"AI Development, Python, Machine Learning, TensorFlow, PyTorch"
Senior AI Developer,"AI Development, Python, Machine Learning, TensorFlow, PyTorch, Deep Learning"
IT Change Manager,"IT Change Management, ITIL, Change Control, Risk Assessment"
Senior IT Change Manager,"IT Change Management, ITIL, Change Control, Risk Assessment, Communication"
IT Systems Manager,"IT Systems Management, Windows, Linux, Servers, Virtualization"
Senior IT Systems Manager,"IT Systems Management, Windows, Linux, Servers, Virtualization, Cloud"
Software Test Engineer,"Software Testing, QA, Test Automation, Selenium, JUnit"
Senior Software Test Engineer,"Software Testing, QA, Test Automation, Selenium, JUnit, Load Testing"
IT Application Manager,"IT Application Management, Software Development, Project Management, Business Analysis"
Senior IT Application Manager,"IT Application Management, Software Development, Project Management, Business Analysis, Vendor Management"
IT Operations Support,"IT Operations, Monitoring, Incident Management, Troubleshooting, Windows, Linux"
Senior IT Operations Support,"IT Operations, Monitoring, Incident Management, Troubleshooting, Windows, Linux, Automation"
IT Product Owner,"Product Ownership, Agile, Scrum, Roadmaps, Backlog Management"
Senior IT Product Owner,"Product Ownership, Agile, Scrum, Roadmaps, Backlog Management, Stakeholder Management"
